Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Total Unusual Items,Total Unusual Items Excluding Goodwill,Minority Interests,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Rent Expense Supplemental,Average Dilution Earnings,Other Special Charges,Impairment Of Capital Assets,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Amortization,Amortization Of Intangibles Income Statement,Preferred Stock Dividends,Earnings From Equity Interest Net Of Tax,General And Administrative Expense,Other Gand A,Net Income Discontinuous Operations,Gain On Sale Of Business,Write Off,Salaries And Wages,Total Other Finance Cost,Other Taxes,Provision For Doubtful Accounts,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Excise Taxes,Depletion Income Statement,Securities Amortization
0.0,0.149715,30653000000.0,22956000000.0,2653000000.0,49071000000.0,30653000000.0,28000000000.0,-18000000.0,1002000000.0,984000000.0,22956000000.0,22956000000.0,62529000000.0,26969000000.0,15672400000.0,15599434000.0,1.46,1.47,22956000000.0,22956000000.0,22956000000.0,22956000000.0,22956000000.0,4042000000.0,26998000000.0,47000000.0,47000000.0,-18000000.0,1002000000.0,984000000.0,26969000000.0,13458000000.0,7307000000.0,6151000000.0,40427000000.0,49071000000.0,89498000000.0,89498000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.125,26783000000.0,19881000000.0,3052000000.0,45384000000.0,26783000000.0,23731000000.0,-18000000.0,998000000.0,980000000.0,19881000000.0,19881000000.0,58799000000.0,22998000000.0,15775021000.0,15697614000.0,1.26,1.27,19881000000.0,19881000000.0,19881000000.0,19881000000.0,19881000000.0,2852000000.0,22733000000.0,-247000000.0,-247000000.0,-18000000.0,998000000.0,980000000.0,22998000000.0,13415000000.0,7442000000.0,5973000000.0,36413000000.0,45384000000.0,81797000000.0,81797000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.149,31216000000.0,24160000000.0,2898000000.0,52860000000.0,31216000000.0,28318000000.0,-12000000.0,930000000.0,918000000.0,24160000000.0,24160000000.0,66518000000.0,28318000000.0,15847050000.0,15787154000.0,1.52,1.53,24160000000.0,24160000000.0,24160000000.0,24160000000.0,24160000000.0,4222000000.0,28382000000.0,64000000.0,64000000.0,-12000000.0,930000000.0,918000000.0,28318000000.0,13658000000.0,7457000000.0,6201000000.0,41976000000.0,52860000000.0,94836000000.0,94836000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36960000.0,0.22,4657000000.0,1369000000.0,2074000000.0,4094000000.0,4489000000.0,2415000000.0,-453000000.0,660000000.0,207000000.0,1500040000.0,1369000000.0,9348000000.0,2798000000.0,1773000000.0,1769000000.0,0.77,0.77,1359000000.0,1359000000.0,1369000000.0,1372000000.0,1372000000.0,383000000.0,1755000000.0,-754000000.0,-586000000.0,-453000000.0,660000000.0,207000000.0,2962000000.0,5254000000.0,1939000000.0,3315000000.0,8216000000.0,4094000000.0,12310000000.0,12310000000.0,ABBV,-168000000.0,-168000000.0,-3000000.0,-164000000.0,,164000000.0,,-4000000.0,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,
-105963696.369637,0.320132,4183000000.0,822000000.0,2076000000.0,5704000000.0,3852000000.0,1776000000.0,-378000000.0,564000000.0,186000000.0,1047036303.630363,822000000.0,10824000000.0,3195000000.0,1772000000.0,1765940733.0,0.46,0.465474,779000000.0,779000000.0,822000000.0,824000000.0,824000000.0,388000000.0,1212000000.0,-1887000000.0,-1556000000.0,-378000000.0,564000000.0,186000000.0,3477000000.0,5120000000.0,1927000000.0,3193000000.0,8597000000.0,5704000000.0,14301000000.0,14301000000.0,ABBV,-331000000.0,-331000000.0,-2000000.0,-282000000.0,,,,-49000000.0,0.0,,,,,282000000.0,,,,,,,,,,,,,,,,,,,,,,
-8190000.0,0.09,4834000000.0,1778000000.0,2235000000.0,6485000000.0,4743000000.0,2508000000.0,-398000000.0,555000000.0,157000000.0,1860810000.0,1778000000.0,11580000000.0,2281000000.0,1771000000.0,1767000000.0,1.0,1.0,1778000000.0,1778000000.0,1778000000.0,1781000000.0,1781000000.0,172000000.0,1953000000.0,4000000.0,95000000.0,-398000000.0,555000000.0,157000000.0,2347000000.0,5095000000.0,1723000000.0,3372000000.0,7442000000.0,6485000000.0,13927000000.0,13927000000.0,ABBV,-91000000.0,-91000000.0,-3000000.0,-66000000.0,,,,-25000000.0,,,,,,66000000.0,,,,,,,,,,,,,,,,,,,,,,
-69740000.0,0.22,5739000000.0,2024000000.0,2260000000.0,4240000000.0,5422000000.0,3162000000.0,-454000000.0,552000000.0,98000000.0,2271260000.0,2024000000.0,9072000000.0,4513000000.0,1771000000.0,1767000000.0,1.14,1.14,2013000000.0,2013000000.0,2024000000.0,2027000000.0,2027000000.0,583000000.0,2610000000.0,-1729000000.0,-1412000000.0,-454000000.0,552000000.0,98000000.0,4793000000.0,4832000000.0,1733000000.0,3268000000.0,9625000000.0,4240000000.0,13865000000.0,13865000000.0,ABBV,-317000000.0,-317000000.0,-3000000.0,-280000000.0,,,,-37000000.0,-169000000.0,,,,,280000000.0,,,11000000.0,,,,,,,,,,,,,,,,,,,
-38850000.0,0.21,3340000000.0,239000000.0,2127000000.0,3986000000.0,3155000000.0,1028000000.0,-454000000.0,553000000.0,99000000.0,385150000.0,239000000.0,9307000000.0,2768000000.0,1776000000.0,1770000000.0,0.13,0.13,228000000.0,228000000.0,239000000.0,241000000.0,241000000.0,234000000.0,475000000.0,-1989000000.0,-1804000000.0,-454000000.0,553000000.0,99000000.0,2918000000.0,5321000000.0,2292000000.0,3039000000.0,8239000000.0,3986000000.0,12225000000.0,12225000000.0,ABBV,-185000000.0,-185000000.0,-2000000.0,-150000000.0,,150000000.0,,-35000000.0,-10000000.0,,,,,150000000.0,,,11000000.0,,,,,,,,,,,,,,,,,,,
0.0,0.146936,2382000000.0,1225000000.0,805000000.0,4130000000.0,2382000000.0,1577000000.0,-61000000.0,141000000.0,80000000.0,1225000000.0,1225000000.0,8578000000.0,1386000000.0,1750000000.0,1739633759.0,0.7,0.704171,1225000000.0,1225000000.0,1225000000.0,1225000000.0,1225000000.0,211000000.0,1436000000.0,111000000.0,111000000.0,-61000000.0,141000000.0,80000000.0,1386000000.0,4115000000.0,684000000.0,2959000000.0,5501000000.0,4463000000.0,9964000000.0,9964000000.0,ABT,,,,,,,,,,472000000.0,472000000.0,,,,,,,472000000.0,472000000.0,,,,,,,,,,,,,,,,,
-2687465.181058,0.111978,2791000000.0,1594000000.0,813000000.0,4224000000.0,2767000000.0,1954000000.0,-70000000.0,159000000.0,89000000.0,1615312534.818942,1594000000.0,8461000000.0,1780000000.0,1748000000.0,1734076358.0,0.91,0.919221,1594000000.0,1594000000.0,1594000000.0,1594000000.0,1594000000.0,201000000.0,1795000000.0,85000000.0,109000000.0,-70000000.0,159000000.0,89000000.0,1780000000.0,3905000000.0,700000000.0,2724000000.0,5685000000.0,4556000000.0,10241000000.0,10241000000.0,ABT,-24000000.0,-24000000.0,,,,,,-24000000.0,,481000000.0,481000000.0,,,,,,,481000000.0,481000000.0,,,,,,,,,,,,,,,,,
